box_precision,box_recall,epoch,iou,iou/cl_0,lr-SGD,map,map_50,map_75,map_large,map_medium,map_per_class,map_small,mar_1,mar_10,mar_100,mar_100_per_class,mar_large,mar_medium,mar_small,step,train_bbox_regression_epoch,train_bbox_regression_step,train_classification_epoch,train_classification_step,train_loss_epoch,train_loss_step,val_bbox_regression,val_classification,val_loss
,,,,,0.0001,,,,,,,,,,,,,,,624,,,,,,,,,
,,16,,,,,,,,,,,,,,,,,,649,,0.09020999819040298,,0.012155309319496155,,0.10236530750989914,,,
,,16,,,,,,,,,,,,,,,,,,662,,,,,,,0.29758304357528687,0.3581978380680084,0.6557808518409729
,,16,,,,,,,,,,,,,,,,,,662,0.10774954408407211,,0.025060418993234634,,0.13280995190143585,,,,
,,,,,0.0001,,,,,,,,,,,,,,,663,,,,,,,,,
,,17,,,,,,,,,,,,,,,,,,699,,0.11873653531074524,,0.026151975616812706,,0.1448885053396225,,,
,,17,,,,,,,,,,,,,,,,,,701,,,,,,,0.2908496558666229,0.3671416640281677,0.6579912900924683
,,17,,,,,,,,,,,,,,,,,,701,0.08573166280984879,,0.020997630432248116,,0.10672928392887115,,,,
,,,,,0.0001,,,,,,,,,,,,,,,702,,,,,,,,,
,,18,,,,,,,,,,,,,,,,,,740,,,,,,,0.29760265350341797,0.36672237515449524,0.6643250584602356
,,18,,,,,,,,,,,,,,,,,,740,0.08305508643388748,,0.021358570083975792,,0.10441364347934723,,,,
,,,,,0.0001,,,,,,,,,,,,,,,741,,,,,,,,,
,,19,,,,,,,,,,,,,,,,,,749,,0.15509578585624695,,0.027634412050247192,,0.18273019790649414,,,
0.9285714030265808,0.9285714030265808,19,0.7747883200645447,0.7747883200645447,,0.4731447398662567,0.8712871074676514,0.4039604067802429,0.5401319861412048,0.0,-1.0,-1.0,0.512499988079071,0.512499988079071,0.512499988079071,-1.0,0.5857142806053162,0.0,-1.0,779,,,,,,,0.29108285903930664,0.38228553533554077,0.6733683347702026
,,19,,,,,,,,,,,,,,,,,,779,0.0770852342247963,,0.019918186590075493,,0.09700341522693634,,,,
